date,rank,rolling_mean_return
2013-09-30,11.0,0.012928517039843372
2013-10-31,11.0,0.013877913987846458
2013-11-30,11.0,0.011982877350701448
2013-12-31,11.0,0.013811671987170275
2014-01-31,11.0,0.014465555236666434
2014-02-28,11.0,0.015050970524922479
2014-03-31,11.0,0.015854658176108684
2014-04-30,11.0,0.016613922088290028
2014-05-31,11.0,0.016807190212745727
2014-06-30,11.0,0.01673664067733118
2014-07-31,11.0,0.01777036562112534
2014-08-31,11.0,0.015445254693798028
2014-09-30,11.0,0.015057164810096947
2014-10-31,11.0,0.014198106975388388
2014-11-30,11.0,0.0065519738481655205
2014-12-31,11.0,0.006880163040254741
2015-01-31,11.0,0.008750155521457208
2015-02-28,11.0,0.008571768133538415
2015-03-31,11.0,0.00888131943060148
2015-04-30,11.0,0.010083826820717477
2015-05-31,11.0,0.00942043703270623
2015-06-30,11.0,0.010112600573372358
2015-07-31,11.0,0.00989019089009689
2015-08-31,11.0,0.00796476238649209
2015-09-30,11.0,0.009036176491916785
2015-10-31,11.0,0.009673878291020673
2015-11-30,11.0,0.009614249803320084
2015-12-31,11.0,0.00879160494980728
2016-01-31,11.0,0.008357658079664118
2016-02-29,11.0,0.00889640797329664
2016-03-31,11.0,0.010073670481034929
2016-04-30,11.0,0.008615316243198232
2016-05-31,11.0,0.010646859855985609
2016-06-30,11.0,0.012294957358357785
2016-07-31,11.0,0.012043420919438889
2016-08-31,11.0,0.013397152919017722
2016-09-30,11.0,0.009882775013386129
2016-10-31,11.0,0.009812702007375319
2016-11-30,11.0,0.009650183377630288
2016-12-31,11.0,0.00880209039142696
2017-01-31,11.0,0.008321909769832136
2017-02-28,11.0,0.008070004042716458
2017-03-31,11.0,0.008691727735818035
2017-04-30,11.0,0.010298507859873527
2017-05-31,11.0,0.009875110119746787
2017-06-30,11.0,0.012151246608777899
2017-07-31,11.0,0.011950042630073794
2017-08-31,11.0,0.012779991600534868
2017-09-30,11.0,0.015128359687349224
2017-10-31,11.0,0.017091716813006357
2017-11-30,11.0,0.015146126562833625
2017-12-31,11.0,0.01683638374508294
2018-01-31,11.0,0.016178652127433673
2018-02-28,11.0,0.011648112753237856
2018-03-31,11.0,0.012544417281387742
2018-04-30,11.0,0.012041747736766813
2018-05-31,11.0,0.011378869685835923
2018-06-30,11.0,0.009561525464623254
2018-07-31,11.0,0.016316317317853695
2018-08-31,11.0,0.016189359592688083
