date,equity,beta,scale
2018-02-28,3.22667581648916,2.210611285173277,0.4523635641901718
2018-04-30,3.3090384487046793,1.8273201607273772,0.5472494757579554
2018-05-31,3.316210666384972,1.72464548539542,0.5798293089612697
2018-07-31,3.3972342789700747,1.5179621562194774,0.6587779516786669
2018-08-31,3.4066156838116046,1.4413320637169065,0.6938026462973428
2018-10-31,3.4432979818226173,0.39778312982227354,1.5
2018-11-30,3.1962312140615046,0.41100352021647735,1.5
2018-12-31,3.449903798612528,0.7548000638176813,1.3248541540154741
2019-01-31,3.513308354639969,0.6296129025541777,1.5
2019-02-28,3.6187497531556105,0.2,1.5
2019-04-30,3.3670395750788633,0.2,1.5
2019-05-31,3.588755193420046,0.2,1.5
2019-07-31,3.5867699645920847,0.2,1.5
2019-09-30,3.739583792255404,0.2,1.5
2019-10-31,3.89535711267491,0.2,1.5
2019-12-31,3.9608237930909094,0.2,1.5
2020-01-31,3.7379834337769884,0.614783695159054,1.5
2020-03-31,4.1743723058920645,0.2,1.5
2020-04-30,4.372962708880078,0.2,1.5
2020-06-30,4.700266179184228,0.2,1.5
2020-07-31,5.202867077041038,0.313026996665356,1.5
2020-08-31,5.018893072900376,0.3775846465362718,1.5
2020-09-30,4.913116899233973,0.33123667127682843,1.5
2020-11-30,5.104609916325252,0.33052194124483486,1.5
2020-12-31,5.137471223789162,0.2,1.5
2021-03-31,5.324732703747062,0.2611326456798055,1.5
2021-04-30,5.354369053465555,0.2634315761054609,1.5
2021-06-30,5.419949027700356,0.2,1.5
2021-08-31,5.175020835816212,0.22921242320312404,1.5
2021-09-30,5.670007888266625,0.2,1.5
2021-11-30,5.726939132380328,0.2952160724868749,1.5
2021-12-31,5.284969230697814,0.2,1.5
2022-01-31,5.194631084098242,0.2,1.5
2022-02-28,5.3982039264339186,0.2,1.5
2022-03-31,4.8006021021754055,0.3708467827027008,1.5
2022-05-31,4.8006021021754055,0.5675524698809333,1.5
2022-06-30,5.235369206904404,0.40762784993196977,1.5
2022-08-31,4.889865713516904,0.4707387205818671,1.5
2022-09-30,5.222169622770423,0.2366858217295909,1.5
2022-10-31,5.4585110554625915,0.20464031209567454,1.5
2022-11-30,5.217392896738197,0.2,1.5
2023-01-31,5.1225753028552585,0.2,1.5
2023-02-28,5.259242629144635,0.2,1.5
2023-03-31,5.3177333499072414,0.2,1.5
2023-05-31,5.560895662000375,0.2,1.5
2023-06-30,5.785077765914066,0.2,1.5
2023-07-31,5.683082568324806,0.2,1.5
2023-08-31,5.380942963324822,0.2,1.5
2023-10-31,5.948441675420394,0.2,1.5
2023-11-30,6.396133464450714,0.2,1.5
2024-01-31,7.023976939424026,0.2,1.5
2024-02-29,7.3376478750955645,0.2,1.5
2024-04-30,7.918628434051128,0.2,1.5
2024-05-31,8.259074173742848,0.2,1.5
2024-07-31,8.302484172652699,0.2,1.5
2024-09-30,8.322146994263143,0.2,1.5
2024-10-31,8.929347810052384,0.2,1.5
2024-12-31,9.287017735720221,0.2,1.5
2025-01-31,8.865725003896394,0.2,1.5
2025-02-28,8.190101248264533,0.2,1.5
2025-03-31,8.3356410840914,0.2,1.5
2025-04-30,9.09677056977533,0.2,1.5
2025-06-30,9.091178532801075,0.2,1.5
2025-07-31,9.403701357336626,0.2,1.5
2025-09-30,9.999867904042398,0.2,1.5
2025-10-31,10.064540992034896,0.2,1.5
2025-12-31,10.334456040121294,0.2,1.5
