month,return
2019-04-01,0.02407112155785507
2019-05-01,-0.09344935164319745
2019-06-01,0.09826631014863896
2019-07-01,0.033315570871900846
2019-08-01,0.005436622492095422
2019-09-01,0.019677223315064163
2019-10-01,0.07653790313902942
2019-11-01,0.018169280505698326
2019-12-01,0.07951875068542957
2020-01-01,-0.037132258268836704
2020-02-01,-0.09127273598865648
2020-03-01,-0.18099441122341342
2020-04-01,0.20962517645671697
2020-05-01,0.11096094934021794
2020-06-01,0.026306949407159053
2020-07-01,0.06572735811756392
2020-08-01,0.04033840761644125
2020-09-01,-0.0673338383068951
2020-10-01,-0.03434824796282565
2020-11-01,0.17855844298976353
2020-12-01,0.05946185378191737
2021-01-01,0.02878003527195605
2021-02-01,0.08517485946961911
2021-03-01,-0.01917284579972167
