month,return,date,beta_3m,vol_3m,max_dd_3m,beta_6m,vol_6m,max_dd_6m,beta_12m,vol_12m,max_dd_12m,portfolio_tail_max_dd
2017-02-01,0.0369505712144422,2017-02-01,,,,,,,,,,-0.1217084191553887
2017-03-01,0.0004677639043437,2017-03-01,,,,,,,,,,-0.1217084191553887
2017-04-01,-0.0188335650139144,2017-04-01,,,,,,,,,,-0.1217084191553887
2017-05-01,-0.0128439346848538,2017-05-01,,,,,,,,,,-0.1217084191553887
2017-06-01,0.0008560160598003,2017-06-01,,,,,,,,,,-0.1217084191553887
2017-07-01,0.0431850724808211,2017-07-01,,,,,,,,,,-0.1217084191553887
2017-08-01,0.0061350536247508,2017-08-01,,,,,,,,,,-0.1217084191553887
2017-09-01,0.0580113455564721,2017-09-01,,,,,,,,,,-0.1217084191553887
2017-10-01,0.0328199820932257,2017-10-01,,,,,,,,,,-0.1217084191553887
2017-11-01,-0.0059965631142994,2017-11-01,,,,,,,,,,-0.1217084191553887
2017-12-01,0.0089423949255393,2017-12-01,,,,,,,,,,-0.1217084191553887
2018-01-01,0.0637102767850832,2018-01-01,,,,,,,,,,-0.1217084191553887
2018-02-01,-0.0265126525296409,2018-02-01,,,,,,,,,,-0.1217084191553887
2018-03-01,0.0030039803488099,2018-03-01,,,,,,,,,,-0.1217084191553887
2018-04-01,0.0173977862032825,2018-04-01,,,,,,,,,,-0.1217084191553887
2018-05-01,0.0629106361336244,2018-05-01,,,,,,,,,,-0.1217084191553887
2018-06-01,-0.037417648891757,2018-06-01,,,,,,,,,,-0.1217084191553887
2018-07-01,0.0385565452124074,2018-07-01,,,,,,,,,,-0.1217084191553887
2018-08-01,0.0235545916243977,2018-08-01,,,,,,,,,,-0.1217084191553887
2018-09-01,-0.011072264257934,2018-09-01,,,,,,,,,,-0.1217084191553887
2018-10-01,-0.0996464395277992,2018-10-01,,,,,,,,,,-0.1217084191553887
2018-11-01,-0.014392231312254,2018-11-01,,,,,,,,,,-0.1217084191553887
2018-12-01,-0.1150735092732068,2018-12-01,,,,,,,,,,-0.1217084191553887
2019-01-01,0.1009091956698846,2019-01-01,,,,,,,,,,-0.1217084191553887
2019-02-01,0.0229503609578394,2019-02-01,,,,,,,,,,-0.1217084191553887
2019-03-01,0.0094361571155066,2019-03-01,,,,,,,,,,-0.1217084191553887
2019-04-01,0.024071121557855,2019-04-01,,,,,,,,,,-0.1217084191553887
2019-05-01,-0.0934493516431974,2019-05-01,,,,,,,,,,-0.1217084191553887
2019-06-01,0.0982663101486389,2019-06-01,,,,,,,,,,-0.1217084191553887
2019-07-01,0.0333155708719008,2019-07-01,,,,,,,,,,-0.1217084191553887
2019-08-01,0.0054366224920954,2019-08-01,,,,,,,,,,-0.1217084191553887
2019-09-01,0.0196772233150641,2019-09-01,,,,,,,,,,-0.1217084191553887
2019-10-01,0.0765379031390294,2019-10-01,,,,,,,,,,-0.1217084191553887
2019-11-01,0.0181692805056983,2019-11-01,,,,,,,,,,-0.1217084191553887
2019-12-01,0.0795187506854295,2019-12-01,,,,,,,,,,-0.1217084191553887
2020-01-01,-0.0371322582688367,2020-01-01,,,,,,,,,,-0.1217084191553887
