date,final_equity,effective_equity,exposure
2024-01-31,12.009760211485238,12.009760211485238,1.0
2024-02-29,12.475271593508584,12.475271593508584,1.0
2024-04-30,13.023218340635824,13.023218340635824,1.0
2024-05-31,13.533037287896455,13.533037287896455,1.0
2024-07-31,13.460549545244374,13.460549545244374,1.0
2024-09-30,13.682624514142187,13.682624514142187,1.0
2024-10-31,14.550224349766385,14.550224349766385,1.0
2024-12-31,14.988732235067364,14.988732235067364,1.0
2025-01-31,14.390350990312944,14.390350990312944,1.0
2025-02-28,13.451947269303757,13.451947269303757,1.0
2025-03-31,13.65899012305201,13.65899012305201,1.0
2025-04-30,14.742584699721249,14.742584699721249,1.0
2025-06-30,15.291269561003835,15.291269561003835,1.0
2025-07-31,15.74568393709354,15.74568393709354,1.0
2025-09-30,17.37643837198614,17.37643837198614,1.0
2025-10-31,17.472645072444422,17.472645072444422,1.0
2025-12-31,18.02540172101993,18.02540172101993,1.0
